Pre,runoff,
149.5164849,109.6875,
136.0471967,103.5625,
143.4973413,99.03125,
147.1684113,96.15625,
126.8011571,95.8125,
152.5171623,94.71875,
110.5839491,93.53125,
136.5826609,92.46875,
130.3378759,90.40625,
109.838259,88.40625,
129.9239718,86.78125,
117.7107263,85.34375,
122.1153902,84.0625,
126.3796842,83.03125,
139.4920052,82.25,
96.77624154,83.25,
137.5905428,89.8125,
136.9357902,95.25,
139.2712706,97.96875,
134.5138302,98.65625,
145.7497362,96.53125,
117.3565974,92.8125,
143.5392048,89.15625,
144.0000662,89.71875,
151.9500386,95.78125,
159.7516502,96.375,
152.220633,93.21875,
139.9679614,90.375,
130.2438702,87.9375,
129.124397,85.5625,
133.0782858,83.5,
125.5493693,81.875,
142.7063508,80.8125,
173.9088524,81.1875,
196.5538162,85.125,
156.2030277,88.09375,
160.9490134,87.875,
152.1403484,87.4375,
140.0798468,87.125,
148.5503221,86.53125,
139.7584517,85.71875,
148.4780553,84.8125,
137.267309,83.875,
151.7724931,83.25,
152.7001599,87.3125,
154.3213852,95.9375,
176.7687805,103.90625,
175.6423906,118.59375,
161.6963551,133.15625,
141.9969492,137.375,
149.3684341,132.15625,
137.1685622,137.8125,
229.6804651,211.3125,
406.4424822,390.48438,
435.5914189,556.7344,
531.3051704,595.46875,
859.0873288,669.3125,
784.7131197,910.59375,
772.541759,1022.3125,
874.1686057,934.9844,
917.5896873,811.46875,
788.7280771,701.5,
584.3993609,609.28125,
545.8565048,541.125,
521.9892051,521,
402.1919092,510.45312,
388.6670205,469.65625,
418.5734334,477.25,
458.7399842,556.1406,
624.286423,573.71875,
457.2466264,536.5156,
447.9404962,482.60938,
385.5012198,433.39062,
325.4792906,391.89062,
301.7771142,356.76562,
284.931607,326.75,
264.4234752,298.51562,
228.2457545,278.71875,
239.9831508,266.70312,
210.3126421,257.4375,
248.8052428,312.14062,
465.3880631,916.7969,
1143.327861,1551.5781,
1517.440803,1653.5,
1493.363374,1579.8906,
1354.005967,1419.5156,
1310.567183,1269.1406,
1199.972406,1165.375,
1138.929761,1049.5938,
1074.614839,934.3125,
1014.40399,892.78125,
900.6103154,1000.6875,
1010.30847,1114.9062,
1073.650227,1181.5156,
1045.752148,1362.6094,
1359.656293,1444.5156,
1507.10006,1418.4375,
1346.11631,1357.2188,
1175.595988,1252.9219,
1180.604978,1164.5781,
1293.643572,1186.9844,
1296.366107,1293.4688,
1221.757052,1287.4688,
1186.09589,1184.0312,
1072.13536,1059.9688,
966.6922253,941.9219,
951.4536718,851.8594,
806.0763948,821.2656,
740.5916912,781.625,
697.46344,695.3594,
624.453492,599.21875,
499.2556823,533.5156,
477.6756922,489.17188,
500.4337173,460.625,
452.7494481,449.40625,
397.7566923,425.3125,
351.8501232,389.64062,
324.018239,351.70312,
335.3332376,317.20312,
294.3585382,287.01562,
268.4514963,262.21875,
