AT,Tmax,Tmin,DPT,GF,SLP,SP,Evap,K,CUPE,runoff
15.23,17.19,13.04,12.38,15.06,1010.26,1008.02,-1.3979,7.55,2.2,137.59375
18.62,23.13,13.41,11.21,17.75,1011.62,1009.39,-4.0036,-23.04,0,129.53125
20.62,26.79,13.56,10.8,19.12,1013.57,1011.34,-4.8859,-10.26,0,120.53125
21.3,26.37,16.03,12.1,20.61,1014.49,1012.26,-4.9789,-4.16,0.02,111.3125
17.88,22.06,13.31,11.62,18.27,1015.31,1013.06,-3.5578,14.52,0.22,102.84375
15.74,16.53,14.67,11.84,15.76,1015.2,1012.95,-1.6396,26.1,1.11,96.3125
18.6,19.94,16.43,15.62,18.54,1013.16,1010.92,-1.2893,29.59,6.51,91.46875
21.07,22.88,18.87,18.43,21.03,1010.31,1008.09,-1.9119,35.06,55.52,88.09375
21.89,23.93,20.3,20.55,21.73,1006.67,1004.46,-1.3588,35.97,72.09,87.1875
20.75,23.91,16.95,17.06,19.91,1007.71,1005.5,-2.9402,19.29,3.92,89.5625
22.23,26.8,15.98,14.81,20.83,1009.15,1006.94,-4.7742,-18.55,0,95.125
24.06,28.75,20.12,16.58,23.04,1010.26,1008.05,-5.3135,-8.77,0,100.0625
21.5,24.92,19.02,19.12,22.31,1004.52,1002.31,-3.2297,32.31,27.28,103.875
17.06,18.95,15.94,15.14,17.36,1001.45,999.23,-1.4932,27.29,17.7,111.03125
18.53,22.57,15.81,14.16,17.36,1003.76,1001.55,-3.1889,17.55,2.4,125.5625
23.87,29.04,18.18,16.55,21.95,1005.49,1003.29,-5.5057,17.11,79.36,139.375
24.25,29.41,18.15,14.58,22.1,1010.42,1008.21,-5.4123,-2.63,0,142.28125
23.96,27.7,20.72,15.57,22.04,1011.87,1009.65,-4.8735,-2.63,0,136.09375
23.16,27.3,19.06,15.98,22.65,1011.4,1009.18,-4.7472,16.33,0.11,126.34375
19.92,21.65,18.53,18.11,19.15,1010.9,1008.67,-1.1932,15.95,2.77,117.375
