AT,Tmax,Tmin,GF,DPT,RH,Evap,PET,LCC,K,runoff
25.68,30.74,20.78,29.3,12.3,43.36,-1.2879,-7.493,0,27.16,149.40625
24.4,30.39,17.87,28.35,12.14,46.32,-1.3587,-7.529,0,25.14,148.125
26.6,32.87,20.35,29.84,11.35,38.55,-1.791,-8.19,0,18.89,146.78125
28.23,34.72,23.27,32.38,11.73,35.94,-1.8629,-7.564,0,18,145.3125
28.56,34.79,22.8,31.6,15.76,45.82,-2.0675,-7.367,0.01,28.2,144.10938
24.23,28.81,21.71,27.28,20.15,77.98,-2.4415,-4.512,0.42,34.46,146.70312
25.11,28.04,21.88,25.87,17.7,63.49,-2.7167,-4.867,0.49,26.21,185.60938
26.66,29.67,23.97,28.08,19.13,63.36,-2.4721,-4.282,0.17,30.35,299.1875
27.22,31.36,22.98,28.37,18.05,57.29,-2.5427,-4.841,0,27.41,377.21875
28.27,33.99,23.56,29.11,11.89,36.21,-3.3811,-7.102,0,23.84,371.71875
27.72,35.65,19.46,27.91,7.09,27.09,-3.0104,-7.986,0,6.22,334.98438
29.77,36.47,23.35,32.08,10.53,30.35,-2.4685,-8.073,0,12.21,296.4375
25.43,30.84,19.95,28.92,15.18,53.05,-1.3674,-5.246,0.07,29.09,262.78125
24.68,28.69,20.82,26.37,17.04,62.48,-1.9746,-4.804,0.09,30.58,236.78125
20.48,21.65,18.28,21.07,17.93,85.3,-1.4967,-1.763,0.18,27.31,226.78125
25.79,31.59,20.83,26.84,16.74,57.38,-3.5965,-6.784,0,23.24,235.29688
28.1,34.3,20.97,28.82,16.24,48.53,-3.3759,-7.059,0,26.23,246.29688
28.11,34.91,20.93,29.67,13.63,40.98,-3.0609,-7.833,0,19.64,242.26562
27.55,33.53,22.52,29.8,14.93,46.08,-2.1483,-7.427,0,19.3,226.375
26.03,32.15,19.02,28.39,13.44,45.73,-1.8664,-7.446,0.21,19.82,207.98438
21.6,24.74,18.99,22.09,17.2,76.05,-0.7136,-2.545,0.57,19,192.29688
26.79,31.26,21.34,30.3,17.35,56.23,-2.2003,-5.938,0.04,22.87,181.32812
25.69,32.65,18.96,27.3,16.74,57.71,-2.1549,-6.068,0.01,24.93,174.95312
25.98,30.91,21.38,29.18,17.21,58.47,-2.0188,-5.943,0,23.8,171.39062
24.27,30.07,18.79,26.26,14.26,53.58,-2.3547,-6.008,0.02,24.5,168.07812
27.42,34.43,21.21,29.73,13.62,42.66,-2.6289,-7.219,0,25.39,164.45312
28.65,35.18,21.51,30.83,13.68,39.84,-2.2497,-7.855,0,24.81,161.65625
28.6,34.45,23.08,31.12,14.74,42.81,-1.6233,-7.862,0,21.47,159.46875
25.66,29.84,22.62,26.69,17.84,61.99,-1.1773,-4.217,0.04,28.13,157.40625
23.5,26.52,21,22.33,19.22,76.95,-2.0477,-1.786,0.17,31.78,158.03125
24.8,28.84,21.12,24.65,19.54,72.55,-2.7946,-3.878,0.01,27.42,175.59375
26.69,32.37,20.91,27.41,19.18,63.43,-4.1127,-6.043,0,18.09,214.01562
27.3,32.23,22.51,27.88,19.04,60.64,-4.0945,-6.792,0.01,16.28,246.8125
28.57,33.33,23.82,29.59,20.67,62.32,-3.6672,-6.48,0.01,21.57,254.85938
29.79,36.23,24.03,31.51,19.85,55.21,-3.7485,-6.89,0,13.38,244.78125
31.29,37.17,25.91,33.15,20.64,53.23,-3.0737,-7.383,0.01,19.14,232.17188
30.26,36.16,25.23,33.41,21.4,59.13,-2.7726,-6.328,0.07,33.43,222.89062
26.83,30.39,24.05,27.5,20.43,67.99,-2.3103,-3.773,0.35,31.07,224.4375
27.6,31.87,24.01,28.21,19.87,62.8,-2.9776,-5.592,0.13,27.79,256.25
28.43,33.44,24.23,30.49,21.12,64.6,-3.162,-6.302,0.1,32.4,312.10938
27.13,31.39,22.92,28.26,11.44,37.6,-3.1928,-6.837,0.01,25.76,340.70312
23.94,30.52,16.16,24.75,6.13,31.72,-2.729,-7.38,0,-3.29,348.32812
26.68,32.57,20.88,28.28,12.36,41.01,-1.7868,-6.671,0.02,20.34,330.64062
