Predicted Sum,runoff
240.0157777,234.26562
231.7117179,230.65625
231.5587463,229.89062
227.6771093,228.125
228.1604693,228.74219
228.4706238,229.53906
223.6187484,223.75781
223.1165638,211.99219
203.6317933,198.76562
191.8086738,187.39844
180.2209366,179.85156
177.7569546,176.55469
177.2393741,177.94531
178.1006258,182
181.2501562,182.6875
180.828986,181.96094
185.5716375,184.26562
186.4078931,187.04688
185.5579709,187.04688
184.9070295,183.89062
180.7208595,182.03125
183.7079672,182.59375
182.1474967,182.45312
180.3465619,179.21875
174.6547685,172.29688
167.6974972,164.26562
158.5179721,156.10938
153.575079,149.15625
145.0025042,143.79688
140.1641384,141.20312
150.6710909,154.32812
171.7578138,183.78125
194.1977332,200.625
196.3774198,197.20312
188.8948447,186.15625
178.6119536,176.9375
171.2244499,169.89062
165.393747,162.07812
158.461094,156.125
154.711091,154.07812
153.799844,153.9375
152.8675005,152.03125
150.1418726,150.26562
149.7465664,149.92188
149.9153162,149.48438
149.14922,149.65625
150.0251586,151.35938
151.74406,151.76562
152.1610189,152.35938
152.04055,152.98438
152.2908609,150.78125
147.3792224,147.23438
144.1362502,143.0625
137.7678155,137.73438
136.7975001,132.15625
132.497656,127.4375
126.9728126,124.96875
127.9731253,127.09375
131.7635938,135.21875
146.440937,150.65625
165.8914847,169.71875
182.8610154,185.21875
193.3021092,197.78125
213.372734,215.125
226.2873441,229.625
227.4554687,228.78125
222.5105467,219.75
220.9617188,214.5
223.8103139,221.8125
226.9815625,229.46875
225.2764842,225.09375
219.5950777,216.46875
220.7857814,213.53125
217.2476565,216.1875
217.1278128,218.75
216.2425001,216.25
211.5223439,206.9375
201.7815626,197.6875
194.9136717,189.5
187.3032808,182.5625
179.0194536,177.75
177.9657027,180.03125
189.3246876,192.15625
214.5345305,216.375
234.910625,250.21875
272.4041399,282.9375
294.70625,302
298.6569531,303.46875
299.3046094,295.4375
284.0457804,280.46875
272.1328118,262.5
253.4036712,247.9375
253.0949213,237.53125
232.75164,229.3125
222.7201557,221.90625
220.3080468,220.9375
223.1807814,224.28125
223.8161709,224.6875
224.1215627,224.78125
228.2736719,230.375
236.8293745,243.34375
260.3443747,259.78125
266.6378119,274.5
287.0282812,293.3125
309.2977341,324.1875
353.2104698,365.03125
399.7683598,412.65625
444.711953,464.71875
489.1755475,511.4375
539.5271875,548.59375
545.9826565,563.09375
572.494374,585.5
611.687032,634.875
631.9871093,641.0625
657.5028075,645.59375
663.215313,681.4375
681.8899985,688.96875
662.940315,665.03125
634.0992165,629.15625
608.6418756,593.78125
578.2191405,581.84375
593.9429705,599.78125
608.5516406,596.84375
568.2253125,559.625
535.0889045,521.65625
511.2384375,513.0625
534.062812,538.625
