Predicted Sum,runoff
69.153125,76
70.3653125,75.0625
71.274375,74.1875
71.3609375,73.40625
72.0234375,72.6875
65.5309375,71.96875
74.16625,71.21875
65.24890625,70.4375
72.02671875,69.59375
71.018125,68.6875
72.428125,67.71875
69.75265625,66.78125
70.5934375,65.84375
75.325,64.9375
69.1621875,64.125
67.6925,63.34375
75.49640625,62.53125
62.79359375,61.75
59.1321875,61
64.2521875,60.21875
60.0178125,59.46875
62.07984375,58.6875
59.6696875,57.875
61.8621875,57.03125
62.4015625,56.25
56.0315625,55.4375
61.64375,54.59375
58.94125,53.71875
55.56125,52.875
57.84125,52
56.2378125,51.0625
59.9075,50.125
61.5434375,49.21875
58.43828125,48.34375
54.0815625,47.5625
52.7278125,47.4375
54.12625,53.0625
71.75953125,67.71875
85.5709375,95.25
141.32375,172.15625
194.4695299,217.53125
219.9919526,230.71875
218.9337504,234
228.2287518,248.21875
279.0442187,312.9375
348.3415616,382.21875
364.4719531,374.59375
339.127969,330.3125
286.743125,287.9375
262.3181249,251.625
222.7328906,222.78125
206.3664845,203.78125
195.3993752,192.90625
183.8900004,180.40625
167.2207814,164.46875
152.2257031,149.40625
135.3992187,137.75
136.7215622,129.375
123.7378907,123.71875
126.9436719,119.59375
114.7925,116.03125
109.8576563,112.46875
102.6551563,109.375
104.0160936,106.96875
112.7510937,104.65625
101.2021875,102.125
104.923125,99.46875
100.4561718,96.8125
94.79015635,94.4375
92.98406245,92.375
98.65078125,90.53125
88.924375,88.96875
91.2465625,87.59375
91.62531255,86.15625
82.1628125,84.75
91.143828,83.34375
85.3258594,81.875
89.17023435,80.46875
86.82265625,79.15625
84.70968755,77.875
87.41374995,76.65625
80.6635157,75.46875
78.3602345,74.875
78.11515625,74.5625
76.3621875,74.25
79.0953125,73.75
75.61984375,73.0625
73.47140625,72.40625
65.2034375,71.78125
66.58296875,71.21875
73.81234375,70.65625
82.0046875,70.03125
76.5003122,69.34375
74.51859375,68.40625
73.2046875,67.59375
76.5794531,66.8125
73.04882815,65.96875
64.46125,65.5
73.5575,74.1875
102.6570313,101.96875
116.4778122,121.59375
123.2949218,125.375
117.4636718,119.34375
110.6609376,108.65625
106.6569528,97.5625
94.9273438,88.03125
81.5709375,80.78125
71.83328125,75.90625
71.368125,74.28125
89.8060938,83.5625
101.2721875,102.75
112.5511718,114.125
131.4128124,131
150.8717967,158.84375
171.7799992,172.59375
163.9643749,168.25
